candidate_id,model_kind,feature_selection_mode,feature_selection_top_k,feature_selection_min_features,feature_selection_min_abs_spearman,feature_selection_min_mutual_info,feature_selection_correlation_threshold,feature_selection_lasso_alpha,robust_clip,calibration,target_transform,prediction_clip,alpha,l1_ratio,epsilon,n_components,fit_intercept,max_iter,tol
80,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,1000.0,,,,True,500000,0.0001
81,ridge,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,1000.0,,,,True,500000,0.0001
82,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,1000.0,,,,True,500000,0.0001
83,ridge,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,1000.0,,,,True,500000,0.0001
84,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,,,,True,500000,0.0001
85,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,,,,True,500000,0.0001
86,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,,,,True,500000,0.0001
87,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,,,,True,500000,0.0001
88,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,,,,True,500000,0.0001
89,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,,,,True,500000,0.0001
90,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0003,,,,True,500000,0.0001
91,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0003,,,,True,500000,0.0001
92,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0003,,,,True,500000,0.0001
93,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0003,,,,True,500000,0.0001
94,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0003,,,,True,500000,0.0001
95,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0003,,,,True,500000,0.0001
96,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.001,,,,True,500000,0.0001
97,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.001,,,,True,500000,0.0001
98,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.001,,,,True,500000,0.0001
99,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.001,,,,True,500000,0.0001
100,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.001,,,,True,500000,0.0001
101,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.001,,,,True,500000,0.0001
102,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.003,,,,True,500000,0.0001
103,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.003,,,,True,500000,0.0001
104,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.003,,,,True,500000,0.0001
105,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.003,,,,True,500000,0.0001
106,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.003,,,,True,500000,0.0001
107,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.003,,,,True,500000,0.0001
108,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.01,,,,True,500000,0.0001
109,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.01,,,,True,500000,0.0001
110,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.01,,,,True,500000,0.0001
111,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.01,,,,True,500000,0.0001
112,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.01,,,,True,500000,0.0001
113,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.01,,,,True,500000,0.0001
114,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.03,,,,True,500000,0.0001
115,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.03,,,,True,500000,0.0001
116,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.03,,,,True,500000,0.0001
117,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.03,,,,True,500000,0.0001
118,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.03,,,,True,500000,0.0001
119,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.03,,,,True,500000,0.0001
120,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.1,,,,True,500000,0.0001
121,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.1,,,,True,500000,0.0001
122,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.1,,,,True,500000,0.0001
123,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.1,,,,True,500000,0.0001
124,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.1,,,,True,500000,0.0001
125,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.1,,,,True,500000,0.0001
126,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.3,,,,True,500000,0.0001
127,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.3,,,,True,500000,0.0001
128,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.3,,,,True,500000,0.0001
129,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.3,,,,True,500000,0.0001
130,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.3,,,,True,500000,0.0001
131,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.3,,,,True,500000,0.0001
132,lasso,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,1.0,,,,True,500000,0.0001
133,lasso,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,1.0,,,,True,500000,0.0001
134,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,1.0,,,,True,500000,0.0001
135,lasso,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,1.0,,,,True,500000,0.0001
136,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,1.0,,,,True,500000,0.0001
137,lasso,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,1.0,,,,True,500000,0.0001
138,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,none,none,0_100,0.0001,0.01,,,True,500000,0.0001
139,elastic_net,none,40,8,0.0,0.0,0.95,0.03,none,linear,none,0_100,0.0001,0.01,,,True,500000,0.0001
140,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,none,none,0_100,0.0001,0.01,,,True,500000,0.0001
141,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=4,linear,none,0_100,0.0001,0.01,,,True,500000,0.0001
142,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,none,none,0_100,0.0001,0.01,,,True,500000,0.0001
143,elastic_net,none,40,8,0.0,0.0,0.95,0.03,z=5,linear,none,0_100,0.0001,0.01,,,True,500000,0.0001
