feature,standardized_coefficient,abs_standardized_coefficient,transformed_feature_count,coefficient_available,permutation_mae_increase_mean,permutation_mae_increase_std,final_refit_selected,validation_fit_selected,coefficient_fit_source,permutation_fit_source,permutation_eval_split,baseline_valid_mae,permutation_repeats,rank
wake_hr_frac_zone4,-0.17398679515474028,0.17398679515474028,1.0,True,-0.0028840247851721124,0.014561877690407576,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,70
wake_stress_high_episode_count,-0.04225824821581551,0.04225824821581551,1.0,True,-0.00382625143110884,0.0037937931321058963,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,71
wake_hr_slope_per_hour,0.08861588496318928,0.08861588496318928,1.0,True,-0.003833735147910211,0.0040657098819404935,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,72
wake_stress_roughness,-0.18977891586696954,0.18977891586696954,1.0,True,-0.0041960671671008145,0.017930680325309954,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,73
wake_stress_active_fragmentation_index,-0.19642883922687684,0.19642883922687684,1.0,True,-0.0049533728680450475,0.023880148253396516,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,74
wake_stress_p25,-0.0697026527602932,0.0697026527602932,1.0,True,-0.005000193458003554,0.007569922990828466,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,75
wake_stress_std,0.046056159692153605,0.046056159692153605,1.0,True,-0.006530253044735357,0.013497449830210662,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,76
wake_q3_hr_mean,-0.25560543865718366,0.25560543865718366,1.0,True,-0.00801877537382536,0.027822474207544266,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,77
wake_stress_high_max_duration_minutes,0.030994500793139073,0.030994500793139073,1.0,True,-0.008933334238673485,0.012376732651567222,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,78
wake_stress_mean_abs_diff,-0.07518350103226042,0.07518350103226042,1.0,True,-0.009041629128949059,0.013868558063449906,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,79
wake_stress_range,-0.1795100577405868,0.1795100577405868,1.0,True,-0.009328641379756775,0.035236955173250754,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,80
wake_hr_p25,-0.09245061542798001,0.09245061542798001,1.0,True,-0.009366401415646309,0.009753284823791283,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,81
wake_q3_stress_mean,-0.0051536798716221984,0.0051536798716221984,1.0,True,-0.010385954289743714,0.004997881190932937,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,82
wake_hr_min,0.31465482269684486,0.31465482269684486,1.0,True,-0.010650980973901802,0.04388964143670878,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,83
wake_stress_histogram_entropy,0.17717028331315549,0.17717028331315549,1.0,True,-0.010667590384810754,0.019938265842589654,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,84
wake_stress_min,0.05612360360145908,0.05612360360145908,1.0,True,-0.011964218312338737,0.010225600699946682,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,85
wake_stress_iqr,0.2696059951860146,0.2696059951860146,1.0,True,-0.014011691418033045,0.03303501452835414,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,86
wake_stress_high_mean_duration_minutes,0.08931405568786266,0.08931405568786266,1.0,True,-0.014279839249715121,0.02230227409923907,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,87
wake_stress_active_max_duration_minutes,0.17685905925684256,0.17685905925684256,1.0,True,-0.017398964366099223,0.03589057892266086,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,88
wake_q3_hr_std,-0.045820762935039325,0.045820762935039325,1.0,True,-0.023202535290975757,0.02211364217060102,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,89
wake_stress_frac_active,0.20646881651006443,0.20646881651006443,1.0,True,-0.025926927113658894,0.027425432452550542,True,True,final_refit_pretest,train_split_model,valid,4.065350465589514,10,90
wake_q4_hr_std,-0.32594557654526135,0.32594557654526135,1.0,True,,,True,False,final_refit_pretest,train_split_model,valid,4.065350465589514,10,91
wake_stress_active_episode_count,0.20853407149018433,0.20853407149018433,1.0,True,,,True,False,final_refit_pretest,train_split_model,valid,4.065350465589514,10,92
wake_hr_trend_r2,0.1497641103918796,0.1497641103918796,1.0,True,,,True,False,final_refit_pretest,train_split_model,valid,4.065350465589514,10,93
wake_hr_diff_stress_diff_corr,0.05583795916243297,0.05583795916243297,1.0,True,,,True,False,final_refit_pretest,train_split_model,valid,4.065350465589514,10,94
