column,family,signal,phase,window,metric,description,unit,dtype,non_null_count,non_null_pct,missing_count,missing_pct,n_unique,is_all_null,is_constant_non_null,is_mostly_missing,is_sparse_or_rare,zero_pct,min,p05,p25,median,p75,p95,max,mean,std,example_values,analysis_role,recommended_for_eda,candidate_model_feature,caution
sleep_stress_p90,distribution/shape,stress,sleep,sleep_phase,p90,p90 for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,121,False,False,False,False,0.0,9.0,15.0,20.0,24.0,30.25,48.299999999999955,85.0,26.8009009009009,11.10303988481862,14; 19; 16,feature,True,True,
sleep_stress_range,distribution/shape,stress,sleep,sleep_phase,range,range for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,73,False,False,False,False,0.0,19.0,35.7,53.0,65.0,74.0,86.0,97.0,63.263063063063065,15.253272742476724,51; 89; 54,feature,True,True,
sleep_stress_skewness,distribution/shape,stress,sleep,sleep_phase,skewness,skewness for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,555,False,False,False,False,0.0,-0.9462051240669175,0.6631062922271723,1.2305055877032127,1.650998811190602,2.056695388059286,3.005144680329417,5.124248502716271,1.6961734256063534,0.7329915252700423,2.184; 2.922; 1.805,feature,True,True,
sleep_stress_std,distribution/shape,stress,sleep,sleep_phase,std,std for stress in sleep.,stress points,float64,555,94.22750424448218,34,5.772495755517826,555,False,False,False,False,0.0,3.885393816897755,6.045754348832688,7.436842122041055,8.986705139884963,11.604439751096734,15.996505926147982,21.234895902725587,9.781187995785455,3.1191250764262226,6.194; 10.12; 8.329,feature,True,True,
wake_hr_histogram_entropy,distribution/shape,hr,wake,wake_phase,histogram_entropy,Distribution entropy over fixed maximum-heart-rate zone bins derived from the configured max HR.,bits,float64,557,94.56706281833617,32,5.432937181663837,547,False,False,False,False,1.7953321364452424,-0.0,0.07511260309193073,0.339439224119315,0.5779700894737837,0.8571813969114831,1.2828166993278964,2.102719125897853,0.6214372058210484,0.37305035113650775,0.8392; 1.058; 0.5694,feature,True,True,
wake_hr_iqr,distribution/shape,hr,wake,wake_phase,iqr,iqr for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,71,False,False,False,False,0.0,3.0,11.0,15.0,18.0,22.0,29.0,43.0,18.700179533213646,5.505086595484415,24; 33.25; 21,feature,True,True,
wake_hr_kurtosis,distribution/shape,hr,wake,wake_phase,kurtosis,kurtosis for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,-0.9687671043740034,-0.6523798629656627,0.03853828260701553,0.7584726422065002,1.86215970926119,4.0974024451716655,7.164857936687852,1.1022482874247177,1.4559556910980023,1.042; 1.215; 0.2552,feature,True,True,
wake_hr_mad,distribution/shape,hr,wake,wake_phase,mad,mad for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,26,False,False,False,False,0.0,2.0,5.4,7.0,9.0,10.0,14.0,22.0,8.947935368043089,2.681471140767145,11; 16.5; 10.5,feature,True,True,
wake_hr_max,distribution/shape,hr,wake,wake_phase,max,max for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,90,False,False,False,False,0.0,83.0,102.0,120.0,134.0,148.0,166.0,183.0,134.3644524236984,19.632760156911093,160; 176; 121,feature,True,True,
wake_hr_mean,distribution/shape,hr,wake,wake_phase,mean,mean for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,52.036144578313255,66.0171400730816,71.70274390243902,77.20496894409938,82.96942675159235,90.72097659050272,112.24971231300346,77.64100317629784,7.983097213393142,79.44; 79.26; 69.78,feature,True,True,
wake_hr_median,distribution/shape,hr,wake,wake_phase,median,median for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,52,False,False,False,False,0.0,49.0,63.0,69.5,75.0,81.0,89.0,111.0,75.42549371633753,8.33377523547727,76; 75.5; 65,feature,True,True,
wake_hr_min,distribution/shape,hr,wake,wake_phase,min,min for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,34,False,False,False,False,0.0,31.0,41.0,45.0,48.0,52.0,58.0,73.0,48.703770197486534,5.508622599977796,48; 43; 46,feature,True,True,
wake_hr_p10,distribution/shape,hr,wake,wake_phase,p10,p10 for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,78,False,False,False,False,0.0,43.0,51.0,56.0,60.900000000000006,66.0,73.0,86.0,61.020825852782764,6.903707850335114,58; 55; 51,feature,True,True,
wake_hr_p25,distribution/shape,hr,wake,wake_phase,p25,p25 for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,59,False,False,False,False,0.0,44.0,56.0,62.0,67.0,72.0,80.0,96.0,67.12208258527828,7.528306652151928,67; 60; 56,feature,True,True,
wake_hr_p75,distribution/shape,hr,wake,wake_phase,p75,p75 for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,80,False,False,False,False,0.0,56.0,71.0,79.0,86.0,92.0,101.19999999999993,124.0,85.82226211849192,9.45800307527273,91; 93.25; 77,feature,True,True,
wake_hr_p90,distribution/shape,hr,wake,wake_phase,p90,p90 for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,147,False,False,False,False,0.0,63.0,80.92,90.0,97.0,104.0,115.84000000000005,145.0,97.25780969479355,11.029697021563301,105; 107; 97,feature,True,True,
wake_hr_range,distribution/shape,hr,wake,wake_phase,range,range for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,91,False,False,False,False,0.0,19.0,53.0,72.0,86.0,100.0,117.19999999999993,138.0,85.66068222621185,19.894464326670366,112; 133; 75,feature,True,True,
wake_hr_skewness,distribution/shape,hr,wake,wake_phase,skewness,skewness for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,-0.8592054403913357,0.01555727033557813,0.4845246958595363,0.8071518195099133,1.170963492681143,1.7224425700037151,2.328351328914128,0.833151454627549,0.49897610893661254,0.8537; 0.9944; 1.029,feature,True,True,
wake_hr_std,distribution/shape,hr,wake,wake_phase,std,std for hr in wake.,bpm,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,4.534532332123609,9.56111819951858,12.42662830786446,14.408322291955917,16.71651786810045,20.604059636851876,27.238629879038648,14.660370422401353,3.425326804885143,17.8; 22.48; 17.78,feature,True,True,
wake_stress_histogram_entropy,distribution/shape,stress,wake,wake_phase,histogram_entropy,Distribution entropy over fixed Garmin-like stress-state bins across valid stress values from 0 to 100.,bits,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,0.4982323592098741,1.1752768867037493,1.62960561123725,1.7808450558434024,1.890307518592746,1.9628525107160948,1.9979059494242404,1.714668666233497,0.24497239412329247,1.966; 1.952; 1.573,feature,True,True,
wake_stress_iqr,distribution/shape,stress,wake,wake_phase,iqr,iqr for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,106,False,False,False,False,0.0,6.75,16.0,28.0,34.0,41.0,50.39999999999995,67.0,34.21543985637343,10.21948513928622,42; 55; 25,feature,True,True,
wake_stress_kurtosis,distribution/shape,stress,wake,wake_phase,kurtosis,kurtosis for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,557,False,False,False,False,0.0,-1.623175192124649,-1.399606304459805,-1.1499221518071694,-0.8986116455089457,-0.3488265945299305,1.8988613386465536,10.206476610951901,-0.51023371703956,1.187385074729636,-1.139; -1.397; 0.1482,feature,True,True,
wake_stress_mad,distribution/shape,stress,wake,wake_phase,mad,mad for stress in wake.,stress points,float64,557,94.56706281833617,32,5.432937181663837,47,False,False,False,False,0.0,3.0,7.0,12.0,15.0,18.5,23.0,33.0,15.308797127468582,4.902622112709448,21; 18.5; 10,feature,True,True,
