feature_set,feature_order,feature,source,dtype,non_null_count,missing_pct,modeling_non_null_count,modeling_missing_pct,family,phase,window,metric,candidate_model_feature,aggregate_review_group,included_in_aggregate_plus_monitoring_full
monitoring_core_wake_pre_sleep,11,wake_stress_frac_resting,monitoring core v0,float64,557,5.432937181663837,472,0.0,stress state fractions,wake,wake_phase,frac_resting,True,,True
monitoring_core_wake_pre_sleep,12,wake_stress_frac_low,monitoring core v0,float64,557,5.432937181663837,472,0.0,stress state fractions,wake,wake_phase,frac_low,True,,True
monitoring_core_wake_pre_sleep,13,wake_stress_frac_medium,monitoring core v0,float64,557,5.432937181663837,472,0.0,stress state fractions,wake,wake_phase,frac_medium,True,,True
monitoring_core_wake_pre_sleep,14,wake_stress_frac_high,monitoring core v0,float64,557,5.432937181663837,472,0.0,stress state fractions,wake,wake_phase,frac_high,True,,True
monitoring_core_wake_pre_sleep,15,wake_stress_frac_active,monitoring core v0,float64,557,5.432937181663837,472,0.0,stress state fractions,wake,wake_phase,frac_active,True,,True
monitoring_core_wake_pre_sleep,16,wake_hr_frac_below_zone1,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_below_zone1,True,,True
monitoring_core_wake_pre_sleep,17,wake_hr_frac_zone1,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_zone1,True,,True
monitoring_core_wake_pre_sleep,18,wake_hr_frac_zone2,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_zone2,True,,True
monitoring_core_wake_pre_sleep,19,wake_hr_frac_zone3,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_zone3,True,,True
monitoring_core_wake_pre_sleep,20,wake_hr_frac_zone4,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_zone4,True,,True
monitoring_core_wake_pre_sleep,21,wake_hr_frac_zone5,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_zone5,True,,True
monitoring_core_wake_pre_sleep,22,wake_hr_frac_above_mhr,monitoring core v0,float64,557,5.432937181663837,472,0.0,HR MHR zones,wake,wake_phase,frac_above_mhr,False,,False
monitoring_core_wake_pre_sleep,23,wake_hr_mean_abs_diff,monitoring core v0,float64,557,5.432937181663837,472,0.0,variability/gaps,wake,wake_phase,mean_abs_diff,True,,True
monitoring_core_wake_pre_sleep,24,wake_hr_roughness,monitoring core v0,float64,557,5.432937181663837,472,0.0,variability/gaps,wake,wake_phase,roughness,True,,True
monitoring_core_wake_pre_sleep,25,wake_stress_mean_abs_diff,monitoring core v0,float64,557,5.432937181663837,472,0.0,variability/gaps,wake,wake_phase,mean_abs_diff,True,,True
